name,description,parameters
save_contact,Save the contact being created or edited.,{}
cancel_editing,Cancel the current contact editing process and discard changes.,{}
add_contact_photo,Add a photo to the contact.,{}
fill_in_name,Enter the first and last name of the contact.,"{'first_name': ""What is the contact's first name?"", 'last_name': ""What is the contact's last name?""}"
show_more_name_fields,Expand to show additional name-related fields.,{}
fill_in_company,Enter the company name associated with the contact.,"{'company': ""What is the contact's company?""}"
fill_in_phone,Enter the phone number of the contact.,"{'phone_number': ""What is the contact's phone number?""}"
select_phone_type,"Select the type of the phone number (e.g., Mobile).",{'phone_type': 'What is the type of the phone number? [Mobile]'}
fill_in_email,Enter the email address of the contact.,"{'email': ""What is the contact's email address?""}"
select_email_type,"Select the type of the email address (e.g., Home).",{'email_type': 'What is the type of the email address? [Home]'}
show_date_picker,Open the date picker to select a significant date for the contact.,{}
show_dropdown_menu,Show a dropdown menu for additional options.,{}
