name,description,parameters
save_contact,保存当前编辑的联系人信息。,{}
cancel_editing,取消当前联系人编辑操作并返回上一界面。,{}
add_photo,为联系人添加照片。,{}
edit_surname,编辑联系人的姓氏字段。,{'surname': '请输入联系人的姓氏。'}
edit_name,编辑联系人的名字字段。,{'name': '请输入联系人的名字。'}
edit_company,编辑联系人的公司字段。,{'company': '请输入联系人的公司名称。'}
edit_phone_number,编辑联系人的电话号码字段。,{'phone_number': '请输入联系人的电话号码。'}
select_phone_type,选择电话号码的类型（如手机、住宅等）。,"{'type': '请选择电话号码的类型。[""手机"", ""住宅""]'}"
delete_phone_number,删除当前编辑的电话号码字段。,{}
edit_email,编辑联系人的电子邮件地址。,{'email': '请输入联系人的电子邮件地址。'}
show_more_name_fields,显示更多与姓名相关的字段。,{}
